Name,Municipality,Phone,URL,FullAddress,Longitude,Latitude
Wayne Gretzky Estates Winery,Niagara-on-the-Lake,,http://www.gretzkyestateswines.com/,,-79.1347612185057,43.2114023303617
Westcott Vineyards,Lincoln,(905) 562-7517,https://www.westcottvineyards.com/,,-79.3580610290108,43.1196476690341
Flat Rock Cellars,Lincoln,(905) 562-8994,http://www.flatrockcellars.com,,-79.3607971752918,43.1295019729987
Le Clos Jordane,Lincoln,(905) 468-4637,http://www.leclosjordanne.com/,,-79.3529344788179,43.1782840218398
Two Sisters Vineyards,Niagara-on-the-Lake,(905) 468-0592,http://www.twosistersvineyards.com/site/home,,-79.0685899762637,43.2410990323862
Cattail Creek Estate Winery,Niagara-on-the-Lake,(905) 988-9463,http://www.cattailcreek.ca/,,-79.1359009088785,43.2010657848562
Icellars Estate Winery,Niagara-on-the-Lake,(289) 479-5969,http://www.icellars.ca/,,-79.1209008191204,43.1732665993595
The Hare Wine Co.,Niagara-on-the-Lake,(289) 272-0140,http://www.theharewineco.com,,-79.1552759353209,43.1957071201368
Sue-Ann Staff Estate Winery,Lincoln,(905) 562-1719,https://www.sue-annstaff.com/,,-79.3554398922143,43.1215910407994
Colaneri Estate Winery,Niagara-on-the-Lake,(905) 682-2100,https://www.colaneriwines.com/,,-79.1370455535882,43.1626352480545
The Organized Crime Winery,Lincoln,(905) 563-9802,http://www.organizedcrimewinery.com/,,-79.4952533474584,43.1553019888291
Rennie Estate Winery,Lincoln,(905) 563-9463,http://rennieestatewinery.com/,,-79.4371778299415,43.1556939034482
Malivoire Wine Company,Lincoln,(866) 644-2244,http://www.malivoire.com/,,-79.4371778299415,43.1556939034482
Between the Lines Winery,Niagara-on-the-Lake,(905) 262-0289,http://www.betweenthelineswinery.com/,,-79.1021169510042,43.1930364376869
Coyote's Run Estate Winery,Niagara-on-the-Lake,(905) 682-8310,http://www.coyotesrunwinery.com,,-79.1179203622208,43.1709664678446
Legends Estate Winery,Lincoln,(905) 563-6500,http://www.legendsestates.com,,-79.4794749266826,43.1939032060967
Ridgepoint Wines,Lincoln,(905) 562-8853,http://www.ridgepointwines.com,,-79.4159241950904,43.1485580441125
Royal Demaria Wines,Lincoln,(905) 562-1380 ,http://www.royaldemaria.com,,-79.4125717357433,43.1787670428471
Redstone Winery,Lincoln,(905) 563-9463,http://redstonewines.ca/,,-79.4377333246334,43.1609241708138
Joseph's Estate Wines,Niagara-on-the-Lake,(905) 468-1259,http://www.josephsestatewines.com,,-79.1074434965406,43.2321139322481
Palatine Hills Estate,Niagara-on-the-Lake,(905) 646-9617,http://www.palatinehillsestatewinery.com/site/home,,-79.1493759319395,43.2414444329562
PondView Estate Winery,Niagara-on-the-Lake,(905) 468-0777,http://www.pondviewwinery.com/site/home,,-79.1018799633638,43.2153635418728
Andres Wines,Grimsby,(905) 643-4131,http://www.andrewpeller.com,,-79.6215865332685,43.2108317530869
Southbrook Vineyards,Niagara-on-the-Lake,(905) 641-2548,http://southbrook.com/,,-79.1615633722265,43.1879744562326
Peninsula Ridge Estates Winery Ltd.,Lincoln,(905) 563-0900,http://www.peninsularidge.com,,-79.5091224346144,43.176734506662
Daniel Lenko Winery,Lincoln,(905) 563-7756,http://www.daniellenko.com,,-79.489585479028,43.1681939579274
Magnotta Winery Estates Ltd.,Lincoln,(905) 563-5313,http://www.magnotta.com,,-79.4761992592115,43.1845848921241
Vieni Estate Wine & Spirits,Lincoln,(905) 563-6521,http://www.vieni.ca/,,-79.4514367149915,43.1350870976778
Good Earth Vineyard & Winery,Lincoln,(905) 563-6333,https://goodearthfoodandwine.com/,,-79.4897704870922,43.1766607372697
Maleta Vineyards,Niagara-on-the-Lake,(905) 685-8486,http://www.maletawinery.com,,-79.1598420963535,43.1649852776835
Rosewood Estates Winery,Lincoln,(905) 563-4383,http://www.rosewoodwine.com,,-79.5005590063207,43.1661772177175
Harbour Estates Winery,Lincoln,(905) 562-6279,http://www.hewwine.com,,-79.3656211241581,43.172703074588
Cornerstone Estate Winery,Lincoln,(905) 563-6758,http://www.cornerstonewinery.com/,,-79.4467465812171,43.1697813872569
Angels Gate Winery,Lincoln,(905) 563-3942,http://www.angelsgatewinery.com,,-79.4998762258008,43.1639171089553
Thirty Bench Wine Makers,Lincoln,(905) 563-1698,http://www.thirtybench.com,,-79.4931265577345,43.1652691345494
Hidden Bench Vineyards and Winery,Lincoln,(905) 563-8700,http://www.hiddenbench.com/,,-79.493706415291,43.1596939015493
Back 10 Cellars,Lincoln,(905) 562-3365,http://www.back10cellars.com/,,-79.430146558128,43.1608203031637
Mountain Road Wine Company,Lincoln,(905) 563-0745,http://www.mountainroadwine.com,,-79.4794425410757,43.1535621285903
Maple Grove Vinoteca Estate Winery,Lincoln,(905) 562-7415,,,-79.4286356453138,43.1895242079448
Thirteenth Street Wine Company,Lincoln,(905) 954-8463,http://www.13thstreetwines.com,,-79.3362557238014,43.1576922933925
Mike Weir Winery,Lincoln,(905) 563-1919,https://www.mikeweirwine.com/,,-79.4889522592666,43.1539582798028
Cave Spring Cellars,Lincoln,(905) 562-3581,http://www.cavespring.ca,,-79.3703066239907,43.1491778848753
Megalomaniac ,Lincoln,(905) 562-5155,http://www.megalomaniacwine.com/main.php,,-79.4257284539728,43.147973021163
Aure Wines,Lincoln,(905) 563-7256,http://www.aurewines.com/,,-79.5042378455935,43.1399318154264
GreenLane Estate Winery,Lincoln,(905) 562-7207,http://www.greenlanewinery.com/,,-79.4116243884631,43.1593039627189
De Sousa Wine Cellars,Lincoln,(905) 563-7269,http://www.desousavineyards.com/,,-79.4564071669931,43.1408272064305
Domaine Queylus,West Lincoln,(905) 562-7474,http://www.queylus.com/contact/,,-79.4029200981069,43.0797616076389
Featherstone Estate Winery & Vineyard,Lincoln,(905) 562-1949,http://www.featherstonewinery.ca,,-79.3938939433254,43.1393362681271
Vineland Estates Winery,Lincoln,(905) 562-7088,http://www.vineland.com,,-79.4034837591821,43.1431624096866
Stoney Ridge Estate Winery,Lincoln,(905) 562-1324,http://www.stoneyridge.com,,-79.3820941783272,43.1498854899015
Big Head Wines,Niagara-on-the-Lake,(905) 468-4321,http://www.bigheadwines.ca/,,-79.1095530374064,43.241153231414
Alvento Winery,Lincoln,(905) 562-1212,http://www.alvento.ca/,,-79.3760652368931,43.1704205915669
Kittling Ridge Wines & Spirits,Grimsby,(905) 945-9225,http://www.kittlingridge.com,,-79.5832627586662,43.2028896913511
Jackson-Triggs Niagara Estate,Niagara-on-the-Lake,(905) 468-4637,http://www.jacksontriggswinery.com,,-79.0915708465156,43.2439160449122
Creekside Estate Winery,Lincoln,(905) 562-0035,http://www.creeksidewine.com/,,-79.3322837618756,43.1517814660734
Stratus Winery,Niagara-on-the-Lake,(905) 468-1806,http://www.stratuswines.com,,-79.0958368329667,43.2390347406752
Domaine Vagners Winery,Niagara-on-the-Lake,(905) 468-7296,http://domainevagners.com/about-the-winery/,,-79.1262649274933,43.2363858061436
Rancourt Winery,Niagara-on-the-Lake,(905) 468-2882,http://www.rancourtwinery.com/EN/index.html,,-79.1111915671208,43.2359577513998
13 Street Winery,Lincoln,(905) 984-8463,13thstreetwinery.com,,-79.3154019674249,43.1520743666662
Pillitteri Estates Winery,Niagara-on-the-Lake,(905) 468-3147,http://www.pillitteri.com,,-79.1143409346499,43.2308772091973
Hernder Estate Wines,St. Catharines,(905) 684-3300,http://www.hernder.com,,-79.3033275646625,43.1221806907863
Lailey Winery,Niagara-on-the-Lake,(905) 468-8188,http://www.laileyvineyard.com,,-79.062510110903,43.2316316163737
Riverview Cellars,Niagara-on-the-Lake,(905) 262-0636,http://www.riverviewcellars.com,,-79.0591688294677,43.2053721071959
Henry of Pelham Family Estate Winery,St. Catharines,(905) 684-8423,http://www.henryofpelham.com,,-79.2986920786323,43.1115764167442
The Ice House Winery,Niagara-on-the-Lake,(855) 331-6161,http://www.theicehouse.ca/,,-79.0614179653716,43.1774964451862
Inniskillin Wines Inc.,Niagara-on-the-Lake,(905) 468-2187,http://www.inniskillin.com,,-79.0639928965179,43.2108565328636
Sunnybrook Farm Estate Winery,Niagara-on-the-Lake,(905) 468-1122,http://www.sunnybrookfarmwinery.com,,-79.1199255273156,43.2514991979041
Frogpond Farm,Niagara-on-the-Lake,(905) 468-1079,http://www.frogpondfarm.ca,,-79.0716322083872,43.1989196530229
Strewn Winery,Niagara-on-the-Lake,(905) 468-1229,http://www.strewnwinery.com,,-79.1261445776836,43.251961449754
Trius Winery at Hillebrand,Niagara-on-the-Lake,(905) 468-7123,http://www.triuswines.com/cms-trius/,,-79.1336141611939,43.2114736611597
Reimer Vineyards,Niagara-on-the-Lake,(905) 468-9417,http://www.reimervineyards.com/www.reimervineyards.com/Winery_Welcome.html,,-79.0792172865633,43.2094024062882
Marynissen Estates,Niagara-on-the-Lake,(905) 468-7270,http://www.marynissen.com,,-79.0741459828561,43.2050850334157
Stonechurch Vineyards,Niagara-on-the-Lake,(905) 935-3535,http://www.stonechurch.com,,-79.1748394066241,43.2231244393806
Small Talk Vineyards,Niagara-on-the-Lake,(905) 935-3535,http://smalltalkvineyards.com/,,-79.1748394066241,43.2231244393806
Harvest Estate Wines,St. Catharines,(905) 682-0080,http://www.harvestwines.com,,-79.2777480418721,43.1562860553873
NOMAD at Hinterbrook Winery,Niagara-on-the-Lake,(905) 646-9617,http://hinterbrook.com/,,-79.1358515789949,43.246717460405
Konzelmann Estate Winery,Niagara-on-the-Lake,(905) 935-2866,http://www.konzelmann.ca/,,-79.1430703219554,43.2511570185812
Chateau des Charmes,Niagara-on-the-Lake,(905) 262-4219,http://www.chateaudescharmes.com,,-79.1275267198265,43.1557264182496
Caroline Cellars,Niagara-on-the-Lake,(905) 468-8814,http://www.carolinecellars.com/,,-79.096318443547,43.2204036246862
DiProfio Wines,Lincoln,(905) 562-7080,http://www.diprofiowines.ca/,,-79.3665074402782,43.1592988991468
Kew Vineyards Estate Winery,Lincoln,(905) 563-1539,http://kewvineyards.com/,,-79.4608929387603,43.1570959992424
Fielding Wines Ltd.,Lincoln,(905) 563-0668,http://www.fieldingwines.com,,-79.4954882861075,43.1522435006016
Reif Estate Winery,Niagara-on-the-Lake,(905) 468-7738,http://www.reifwinery.com,,-79.0615643586557,43.2175687120959
Peller Estates Winery,Niagara-on-the-Lake,(905) 468-4678,http://www.peller.com,,-79.0673032530602,43.2385560640318
Calamus Estate Winery,Lincoln,(905) 562-9303,http://www.calamuswines.com/,,-79.3794899721125,43.127427094155
Ravine Vineyard,Niagara-on-the-Lake,(905) 262-8463,https://www.ravinevineyard.com/,,-79.1032981411155,43.1604597807211
Rockway Vineyards,Lincoln,(905) 641-1030,http://www.rockwayglen.com,,-79.3189597310312,43.1259232838003
Tawse Winery,Lincoln,(905) 562-9500,http://www.tawsewinery.ca,,-79.4116428394584,43.15147020248
Niagara College Teaching Winery,Niagara-on-the-Lake,(905) 641-2252,http://www.niagaracollegewine.ca/,,-79.166131971977,43.1529301761875
Kacaba Vineyards,Lincoln,(905) 562-5625,http://www.kacaba.com,,-79.4013327361096,43.1511464855422
Foreign Affair Winery,Lincoln,(905) 562-9898,http://foreignaffairwinery.com/,,-79.3963208903082,43.1908766178966
Lakeview Wine Co.,Niagara-on-the-Lake,(905) 685-5673,https://www.lakeviewwineco.com/site/home,,-79.1424916995733,43.2052205895945
16 Mile Cellar,Lincoln,(905) 562-5225,16milecellar.com,,-79.3271193640708,43.1392697305458
